date,Close,Volume,Daily_Return
2025-01-02,24188.650390625,283200,1.8774033191665485
2025-01-03,24004.75,312300,-0.7602755327609123
2025-01-06,23616.05078125,278100,-1.6192595996625703
2025-01-07,23707.900390625,262300,0.38892874268343647
2025-01-08,23688.94921875,266400,-0.07993610384197103
2025-01-09,23526.5,269200,-0.6857594959147506
2025-01-10,23431.5,261000,-0.4037999702463213
2025-01-13,23085.94921875,316500,-1.4747275302477436
2025-01-14,23176.05078125,311200,0.3902874499386977
2025-01-15,23213.19921875,228000,0.16028803979861728
2025-01-16,23311.80078125,299400,0.4247650725383689
2025-01-17,23203.19921875,272900,-0.46586517926727744
2025-01-20,23344.75,301500,0.6100485537167577
2025-01-21,23024.650390625,312900,-1.3711845677293555
2025-01-22,23155.349609375,276000,0.5676490914416465
2025-01-23,23205.349609375,275600,0.21593282262408753
2025-01-24,23092.19921875,264300,-0.48760476583936674
2025-01-27,22829.150390625,257400,-1.1391241935562957
2025-01-28,22957.25,361900,0.5611229817278129
2025-01-29,23163.099609375,226300,0.8966649288351114
2025-01-30,23249.5,361900,0.3730087599762788
2025-01-31,23508.400390625,304900,1.1135740150325812
2025-02-01,23482.150390625,281000,-0.11166221250199504
2025-02-03,23361.05078125,329700,-0.5157091976693451
2025-02-04,23739.25,376700,1.6189306820631133
2025-02-05,23696.30078125,267000,-0.1809207062143936
2025-02-06,23603.349609375,307000,-0.39226026346081966
2025-02-07,23559.94921875,368100,-0.18387386257991967
2025-02-10,23381.599609375,234200,-0.7570033692307909
2025-02-11,23071.80078125,268000,-1.3249684936046169
2025-02-12,23045.25,279700,-0.11507892904301098
2025-02-13,23031.400390625,265700,-0.06009745771905495
2025-02-14,22929.25,254500,-0.4435266153706374
2025-02-17,22959.5,207400,0.13192755977626813
2025-02-18,22945.30078125,210600,-0.06184463402948426
2025-02-19,22932.900390625,207000,-0.05404326900405598
2025-02-20,22913.150390625,240800,-0.08612081186238907
2025-02-21,22795.900390625,242800,-0.5117148798882476
2025-02-24,22553.349609375,214300,-1.0640105330068539
2025-02-25,22547.55078125,250300,-0.025711604818956513
2025-02-27,22545.05078125,289200,-0.011087678764998277
2025-02-28,22124.69921875,551300,-1.8644959666695105
2025-03-03,22119.30078125,282400,-0.024400049223838316
2025-03-04,22082.650390625,253300,-0.16569416451024388
2025-03-05,22337.30078125,305900,1.1531695069225467
2025-03-06,22544.69921875,372100,0.9284847776867
2025-03-07,22552.5,289800,0.03460139864501777
2025-03-10,22460.30078125,293900,-0.4088203913091726
2025-03-11,22497.900390625,347900,0.16740474556060647
2025-03-12,22470.5,369700,-0.12179087892316698
2025-03-13,22397.19921875,287500,-0.3262089461738671
2025-03-17,22508.75,251100,0.4980568336268254
2025-03-18,22834.30078125,272600,1.446329899483545
2025-03-19,22907.599609375,324000,0.32100316461272094
2025-03-20,23190.650390625,313700,1.2356195589090069
2025-03-21,23350.400390625,541000,0.6888551951288902
2025-03-24,23658.349609375,311900,1.3188177230298859
2025-03-25,23668.650390625,338200,0.04353972876416368
2025-03-26,23486.849609375,278600,-0.7681079328545448
2025-03-27,23591.94921875,510300,0.4474827877002596
2025-03-28,23519.349609375,295400,-0.30773044101545244
2025-04-01,23165.69921875,314300,-1.5036571865236992
2025-04-02,23332.349609375,341000,0.7193842458686373
2025-04-03,23250.099609375,283200,-0.35251486188494496
2025-04-04,22904.44921875,466800,-1.4866619775066536
2025-04-07,22161.599609375,647100,-3.2432546283055363
2025-04-08,22535.849609375,468300,1.6887318902814252
2025-04-09,22399.150390625,383800,-0.6065856008070525
2025-04-11,22828.55078125,402200,1.9170387409190415
2025-04-15,23328.55078125,388300,2.190239778210845
